Date,Open,High,Low,Close,Adj Close,Volume
4/6/2017,13.11,13.22,11.7,12.39,12.39,0
4/7/2017,13.17,13.43,12.23,12.87,12.87,0
4/10/2017,13.24,14.11,12.94,14.05,14.05,0
4/11/2017,14.32,15.88,14.17,15.07,15.07,0
4/12/2017,15.16,16.16,14.84,15.77,15.77,0
4/13/2017,15.89,16.219999,14.97,15.96,15.96,0
4/17/2017,16.190001,16.280001,14.6,14.66,14.66,0
4/18/2017,14.5,15.5,14.29,14.42,14.42,0
4/19/2017,14,15.15,13.46,14.93,14.93,0
4/20/2017,14.59,14.81,13.83,14.15,14.15,0
4/21/2017,13.85,15.33,13.85,14.63,14.63,0
4/24/2017,11.56,12.01,10.82,10.84,10.84,0
4/25/2017,10.81,11.15,10.22,10.76,10.76,0
4/26/2017,10.61,10.89,10.39,10.85,10.85,0
4/27/2017,10.72,11.08,10.33,10.36,10.36,0
4/28/2017,10.39,11.16,10.29,10.82,10.82,0
5/1/2017,10.92,11.04,9.9,10.11,10.11,0
5/2/2017,10.15,10.59,10.04,10.59,10.59,0
5/3/2017,10.56,11.15,10.4,10.68,10.68,0
5/4/2017,10.71,11.24,10.27,10.46,10.46,0
5/5/2017,10.51,10.56,9.99,10.51,10.51,0
